title,singer,lyric
다시 만날 수 있을까,임영웅,"너를 위해 해 줄 것이 하나 없어서
보낼 수밖에 없었고
네가 없이 사는 법을 알지 못해서
순간순간을 울었다
후회로 가득한 한숨 자락이
시린 바람처럼
가슴 치는 날 그 언젠가
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까
붙잡을 마음이야 없었겠냐마는
그때 난 부끄러웠다
떳떳하게 일어나 널 다시 찾아갈
뜨거운 꿈만 꾸었다
둘이 함께 했던 순간순간이
시린 폭포처럼
쏟아지는 날 그 언젠가
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까
그리운 마음이 서럽게 흘러넘쳐
너에게 닿을 때
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까"
내가 아니라도,주호,"사랑이었다 별거 없던 내 하루에
빛이 돼준 단한 사람
나보다 나를 더 아껴 주던 너를
그땐 왜 몰랐을까
행복이었다 다시는 없을 것 같던
잠시나마 행복했었다
다른 사람 곁에 있는 널
생각해 본 적 없지만
이젠 너를 보내줘야 할 것 같아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
내 전부였다 무엇도 바꿀 수 없던
우리라서 행복했었다
다른 누구라도
나보다 더 좋은 사람 만나서
이젠 나를 잊고 행복하게 살아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
어두웠던 내 하루에
빛이 되어주던 그날들을
어떻게 잊고 살아
과분했던 너라는 사람을 만나
누구보다 사랑했었다
내가 아니었다면
눈부시게 사랑받았을 너란 걸
이 세상에 누구보다 더 잘 알아서
미안했어 너와 함께한 날들이
더 말할 게 있을까
행복한 기억만 가져갈게"
RUN2U,STAYC(스테이씨),"RUN
Told you not 또 괜한 기대
겉으론 걱정해 난 안 바뀌네
또 가끔 말을 막 해 너무 딱해
헛소리들 나는 안 들리네 no oh yeah
Told you 난 so always b day
겉으론 내 편인데 못해 이해
그 참견들은 가짜 나는 바빠
어떻게 해도 나는 안 들리네
no no oh
타 버리고 파
너의 사랑은 so sunny yeah
사라져도 사라져도
다 버리고 파 너만 있다면
no worry yeah
알잖아 It should be you
So I’LL RUN TO YOU
So I’LL RUN TO YOU
선을 넘는 거래도 over and over
다쳐도 괜찮아 I’LL RUN TO YOU
So I’LL RUN TO YOU
A little bit little bit Young
A little bit little bit Young
A little bit little bit
알지 나의 Style
네가 어떤 너래도 over and over
다쳐도 괜찮아 I’LL RUN TO YOU
JJ
물불 안 가리는 type
I never 절대로 도도
망가질 수 없는 사이
알잖아 I’m not a poser
혹시라도 잘못돼도
절대 너를 탓하지 않아
그게 어디라도 wanna be there
타 버리고 파
너의 사랑은 so sunny yeah
사라져도 사라져도
다 버리고 파 너만 있다면
no worry yeah
알잖아 It should be you
So I’LL RUN TO YOU
So I’LL RUN TO YOU
선을 넘는 거래도 over and over
다쳐도 괜찮아 I’LL RUN TO YOU
So I’LL RUN TO YOU
A little bit little bit Young
A little bit little bit Young
A little bit little bit
알지 나의 Style
네가 어떤 너래도 over and over
다쳐도 괜찮아 I’LL RUN TO YOU
No no that’s ok that’s ok
누가 뭐래도
No 괜찮아 아플 거래도
상관없어 멋대로 생각해도 돼
막지 못해 널 사랑하기 때문에
So I’LL RUN TO YOU
So I’LL RUN TO YOU
선을 넘는 거래도 over and over
다쳐도 괜찮아 I’LL RUN TO YOU
So I’LL RUN TO YOU
A little bit little bit Young
A little bit little bit Young
A little bit little bit
알지 나의 Style
네가 어떤 너래도 over and over
다쳐도 괜찮아 I’LL RUN TO YOU"
Seoul,볼빨간사춘기,"Seoul 처음 만난 낯선 도시에서
사람들 사이에 빛이 나는
기타를 멘 멋진 소년과 yeah
사랑에 빠진 Love Story
들어볼래 지나치게도
소설 같은 이야기일 거야
Maybe Someday
꽃잎이 떨어지는 그날에
우리가 만난 그곳에서
멀리서 기타 소리가 들리면 나
너를 위해 노랠 부를 거야
City of light
빛이 가득한 이 도시에서
눈을 반짝이며 꿈을 꾸는
마이크를 쥔 멋진 소녀와
사랑에 빠진 Love Story
Maybe Someday
꽃잎이 떨어지는 그날에
우리가 만난 그곳에서
멀리서 기타 소리가 들리면 나
너를 위해 노랠 부를 거야
언젠가 사랑했던 그 도시에서
내 목소릴 기억한다면
그때 우리 만나자 my Seoul
Someday
너와 나 꿈꿔왔던 그날에
서로가 마주한 곳에서
환하게 미소 지을 수 있다면 나
너를 위해 노래해
Someday 그때 그날에
우리가 만난 그곳에서
멀리서 네 목소리가 들리면 나
너를 위해 노랠 부를 거야"
드라마,아이유,"나도 한때는 그이의 손을 잡고
내가 온 세상 주인공이 된 듯
꽃송이의 꽃잎 하나하나까지
모두 날 위해 피어났지

올림픽대로 뚝섬 유원지
서촌 골목골목 예쁜 식당
나를 휘청거리게 만든
주옥같은 대사들

다시 누군가 사랑할 수 있을까
예쁘다는 말 들을 수 있을까
하루 단 하루만 기회가 온다면
죽을힘을 다해 빛나리

언제부턴가 급격하게
단조로 바뀌던 배경음악
조명이 꺼진 세트장에
혼자 남겨진 나는

단역을 맡은 그냥 평범한 여자
꽃도 하늘도 한강도 거짓말
나의 드라마는 또 이렇게 끝나
나왔는지조차 모르게

끝났는지조차 모르게"
strawberry moon,아이유,"달이 익어가니 서둘러 젊은 피야
민들레 한 송이 들고
사랑이 어지러이 떠다니는 밤이야
날아가 사뿐히 이루렴

팽팽한 어둠 사이로
떠오르는 기분
이 거대한 무중력에 혹 휘청해도
두렵진 않을 거야

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
나에게 너를 맡겨볼래 eh-oh

바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh

다시 마주하기 어려운 행운이야
온몸에 심장이 뛰어
Oh 오히려 기꺼이 헤매고픈 밤이야
너와 길 잃을 수 있다면

맞잡은 서로의 손으로
출입구를 허문
이 무한함의 끝과 끝 또 위아래로
비행을 떠날 거야

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
나에게 너를 맡겨볼래 eh-oh
바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh

놀라워 이보다
꿈같은 순간이 또 있을까 (더 있을까)
아마도 우리가 처음 발견한
오늘 이 밤의 모든 것, 그 위로 날아

푸르른 우리 위로
커다란 strawberry moon 한 스쿱
세상을 가져보니 어때 eh-oh

바람을 세로질러
날아오르는 기분 so cool
삶이 어떻게 더 완벽해 ooh"
리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),"까만 리무진 보며
꿈을 키웠지
언젠가는 나도 저걸 갖게 될 거야
커다란 리무진에서 내가 내리지
변한 것은 내가 아닌 삶의 무게 they don't know

I say hi
내게 안 된다는 사람들 오랜만이야
나를 봐
너에게 인사를 건네는 여유쯤이야
왜 병을 줬어 내게
덕분에 젖었어 베개는
그래서 I said 'you ready?'
이 노랜 널 위한 곡이니까 들어줘
됐어 이제 와 건네는 응원은 개뻥
날 떠난 그녀도 전화해 취해서
회사 매니저가 음악을 채점했던
그때도 버텼어 매번
거짓말 하지 마 원래 잘 될 줄 알았다네 비오가
멀었어 이게 내 신호탄
새벽에 전화는 하지 마

Always hide freakin' inside
그땐 갉아 먹던 자존감이 식사
Reset 그때 나의 실패를
바란 사람들아
Never change though I'm in a limousine

까만 리무진 보며
꿈을 키웠지
언젠가는 나도 저걸 갖게 될 거야
커다란 리무진에서 내가 내리지
변한 것은 내가 아닌 삶의 무게 they don't know

No no no oh oh oh oh
I don't change my mind if I'm in a limousine

Oh no no 기억도 안 나고 안 할 거
열두 평 to 120평
울 엄마 식당 말고 골프 쳐
Back in a day yeah
편이 오늘의 적이네 yeah
그걸 깨달았을 때엔
서랍 안에 총을 넣어뒀네

리무진처럼 길고 길었지
지옥 같던 연습실
청춘을 갈아 넣어 뿌린
내 그릇의 가니쉬
좋은 상품이랍시고
많이들 포장도 하지만
아이돌 다 리스펙하지
I hate your laziness

Always hide freakin' inside
그땐 갉아먹던 자존감이 식사
Reset 그때 나의 실패를
바란 사람들아
Never change though I'm in a limousine

까만 리무진 보며
꿈을 키웠지
언젠가는 나도 저걸 갖게 될 거야
커다란 리무진에서 내가 내리지
변한 것은 내가 아닌 삶의 무게 they don't know

떠나도 보내고
가난은 forever
너 때문에 난
희망을 버렸어

그래도 일어서
다시 걸었어
괜찮아
이건 다 리허설

빌빌댔었던 올해
작년과 2년 전 나의
방의 쌓였던 약에
양의 비례한 곡들과 입속의 단내
돌고 돌고 돌아 breathing

이제 쉬어지네 호흡이
몰래몰래 했던 나의 젊은 날에
한숨 가득 찬 레코딩

네 잎을 바라던 손이
저절로 떼버린 하나의 꽃잎

I didn't want luck. I wanted

까만 리무진 보며
꿈을 키웠지
언젠가는 나도 저걸 갖게 될 거야
커다란 리무진에서 내가 내리지
변한 것은 내가 아닌 삶의 무게 they don't know

No no no oh oh oh oh
I don't change my mind if I'm in a limousine"
Celeb,싸이 (PSY),"You so popular be ma formula
May I call you a celeb?
You so popular be ma formula
May I call you a celeb?

P S Y

지진이 난 두 눈에 셔터가 터져
심장에 빨간 불 들어 On air (On & on & on)
살면서 온갖 일 다 겪어 봤지만
가장 큰 이슈는 Only you

호감도 100% 실시간 급상승
네 이름이 요즘 미는 유행어 (Eh oh eh oh)
첫 작은 멜로 넌 나의 페르소나
올해의 여우가 되어줘

넌 나의 Celeb Celeb Celeb Celeb Celeb
나만 알 수 있게 사인해 줘요 (줘요)
넌 나의 Celeb Celeb Celeb Celeb Celeb (Celeb)
우리 연애면을 장식해 줘요 (줘요)

C E L E Brity 지나치게 Pretty
브랜드 평판 1위 (Woo)
C E L E Brity 느낌적인 느낌
Baby can you feel this? (Woo)

또각또각 Walking uh
또박또박 Talking uh
Look at you so funky uh
계약할래 Turnkey yeah
뭘 입어도 메도 신어도 뿌려도 센스 쩔어
넌 나의 트렌드 리더야

좋아요 눌러 난 너의 Follower
웬만한 연예인 뺨을 치네요 (Eh oh eh oh)
우리 오페라 넌 나의 프리마돈나
커튼콜은 잊지 말아 줘

넌 나의 Celeb Celeb Celeb Celeb Celeb
나만 알 수 있게 사인해 줘요 (줘요)
넌 나의 Celeb Celeb Celeb Celeb Celeb (Celeb)
우리 연애면을 장식해 줘요 (줘요)

C E L E Brity 지나치게 Pretty
브랜드 평판 1위 (Woo)
C E L E Brity 느낌적인 느낌
Baby can you feel this? (Woo)

P S Y

(Celeb Celeb)

넌 처음부터 슈퍼스타
음악적 뮤즈야
막혔던 가사도 술술 나와
네 모든 의식주가
나한테는 빅뉴스야
포즈 잡아 Oh my gosh!

넌 나의 Celeb Celeb Celeb Celeb Celeb
나만 알 수 있게 사인해 줘요 (줘요)
넌 나의 Celeb Celeb Celeb Celeb Celeb (Celeb)
우리 연애면을 장식해 줘요 (줘요)

Eh eh eh eh eh eh eh eh eh
C E L E Brity
Eh eh eh eh eh eh eh eh eh
C E L E Brity"
너의 모든 순간,성시경,"이윽고 내가 한눈에
너를 알아봤을 때
모든 건 분명 달라지고 있었어
내 세상은 널 알기 전과 후로 나뉘어
니가 숨 쉬면 따스한 바람이 불어와
니가 웃으면 눈부신 햇살이 비춰
거기 있어줘서 그게 너라서
가끔 내 어깨에 가만히 기대주어서
나는 있잖아 정말 빈틈없이 행복해
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다 보곤 해
그것 말고는 아무것도 할 수 없어서
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
보고 있으면 왠지 꿈처럼 아득한 것
몇 광년 동안 날 향해 날아온 별빛
또 지금의 너
거기 있어줘서 그게 너라서
가끔 나에게 조용하게 안겨주어서
나는 있잖아 정말 남김없이 고마워
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다보곤 해
너를 보는 게 나에게는 사랑이니까
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
니 모든 순간 나였으면"
Dynamite,방탄소년단,"Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shoes on get up in the morn
Cup of milk let’s rock and roll
King Kong kick the drum
rolling on like a rolling stone
Sing song when I’m walking home
Jump up to the top LeBron
Ding dong call me on my phone
Ice tea and a game of ping pong
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload I’m into
that I’m good to go
I'm diamond you know I glow up
Hey so let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Bring a friend join the crowd
Whoever wanna come along
Word up talk the talk
just move like we off the wall
Day or night the sky’s alight
So we dance to the break of dawn
Ladies and gentlemen
I got the medicine
so you should keep ya
eyes on the ball huh
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload
I’m into that I’m good to go
I'm diamond you know I glow up
Let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah"
아무래도 난,주시크 (Joosiq),"아무렇지 않게 내 하루가 또
지나갈 쯤에 문득
네가 없다는 게 익숙해진 내가
낯설어지곤 해 yeah
이제와 너 없는 난 의미 없다고
되돌릴 수 없는 우리겠지만
네가 좋아했던 그 노랠 우연히
듣게 됐어 아무래도 난
Baby I Need You
좀 늦었겠지만
다시 하고 싶어
여전히 I Need you
Need You
좀 어렵겠지만
너 없인 안돼 난
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now
몇 곡의 노래로 너를 불렀을까
너도 들었겠지만
아직도 궁금해
내가 없이 보낸
너의 지금은 어때
이제와 너 없는 난 의미 없다고
되돌릴 수 없는 우리겠지만
네가 좋아했던 그 노랠 우연히
불러 봤어 아무래도 난
Baby I Need You
좀 늦었겠지만
다시 하고 싶어
여전히 I Need you
Need You
좀 어렵겠지만
너 없인 안돼 난
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now
그때 네가 울던 한강 공원에서
네 눈물을 보고 닦아 주질 못했어
이런 게 떠올라 후회된 장면만
웃는게 예뻤던 너를
Baby I Need You
여전히 사랑해
내가 잘못했어
돌아와 I Need you
Need You
너도 그랬다고
나없이 안돼 넌
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now"
내 손을 잡아,아이유,"느낌이 오잖아

떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

어서 내 손을 잡아

우연히 고개를 돌릴 때 마다

눈이 마주치는 건

며칠 밤 내내 꿈속에 나타나

밤새 나를 괴롭히는 건

그 많은 빈자리 중에서 하필

내 옆자릴 고르는 건

나도 모르게 어느새 실없는 웃음

흘리고 있다는 건

그럼 말 다했지 뭐

우리 얘기 좀 할까

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

핸드폰 진동에

심장이 덜컥내려 앉는다는 건

오 나도 모르게

어느새 짓궂은 네 말투

자꾸 듣고 싶은걸

어떡해

저기 멀리 걸어온다

눈이 마주친다

언제까지 넌 모른척 할거니

사랑이 온거야 너와 나 말이야

네가 좋아 정말 못 견딜 만큼

그거면 된거야

더는 생각하지 말란 말이야

네 맘 가는 그대로

느낌이 오잖아 떨리고 있잖아

언제까지 눈치만 볼 거니

네 맘을 말해봐

딴청 피우지 말란 말이야

네 맘 가는 그대로

지금 내 손을 잡아

그냥 내 손을 잡아

지금 내 손을 잡아"
"스물다섯, 스물하나",자우림,"바람에 날려 꽃이 지는 계절엔
아직도 너의 손을 잡은 듯 그런 듯 해
그때는 아직 꽃이 아름다운 걸
지금처럼 사무치게 알지 못했어
우 너의 향기가 바람에 실려 오네
우 영원할 줄 알았던
스물다섯 스물하나
그 날의 바다는 퍽 다정했었지
아직도 나의 손에 잡힐 듯 그런 듯 해
부서지는 햇살 속에 너와 내가 있어
가슴 시리도록 행복한 꿈을 꾸었지
우 그날의 노래가 바람에 실려 오네
우 영원할 줄 알았던
지난날의 너와 나
너의 목소리도 너의 눈동자도
애틋하던 너의 체온마저도
기억해내면 할수록 멀어져 가는데
흩어지는 널 붙잡을 수 없어
바람에 날려 꽃이 지는 계절엔
아직도 너의 손을 잡은 듯 그런 듯 해
그때는 아직 네가 아름다운 걸
지금처럼 사무치게 알지 못했어
우 너의 향기가 바람에 실려 오네
우 영원할 줄 알았던
스물다섯 스물하나
우 그날의 노래가 바람에 실려 오네
우 영원할 줄 알았던
지난날의 너와 나
우
우
우 영원할 줄 알았던
스물다섯 스물하나
스물다섯 스물하나"
라일락,아이유,"나리는 꽃가루에 눈이 따끔해 (아야)
눈물이 고여도 꾹 참을래
내 마음 한켠 비밀스런 오르골에 넣어두고서
영원히 되감을 순간이니까

우리 둘의 마지막 페이지를 잘 부탁해
어느 작별이 이보다 완벽할까
Love me only till this spring

오 라일락 꽃이 지는 날 good bye
이런 결말이 어울려
안녕 꽃잎 같은 안녕
하이얀 우리 봄날의 climax
아 얼마나 기쁜 일이야

Ooh ooh
Love me only till this spring
봄바람처럼
Ooh ooh
Love me only till this spring
봄바람처럼

기분이 달아 콧노래 부르네 (랄라)
입꼬리는 살짝 올린 채
어쩜 이렇게 하늘은 더 바람은 또 완벽한 건지
오늘따라 내 모습 맘에 들어

처음 만난 그날처럼 예쁘다고 말해줄래
어느 이별이 이토록 달콤할까
Love resembles misty dream

오 라일락 꽃이 지는 날 good bye
이런 결말이 어울려
안녕 꽃잎 같은 안녕
하이얀 우리 봄날의 climax
아 얼마나 기쁜 일이야

Ooh ooh
Love resembles misty dream
뜬구름처럼
Ooh ooh
Love resembles misty dream
뜬구름처럼

너도 언젠가 날 잊게 될까
지금 표정과 오늘의 향기도
단잠 사이에 스쳐간
봄날의 꿈처럼

오 라일락 꽃이 지는 날 good bye
너의 대답이 날 울려
안녕 약속 같은 안녕
하이얀 우리 봄날에 climax
아 얼마나 기쁜 일이야

Ooh ooh
Love me only untill this spring
봄바람처럼
Ooh ooh
Love me only untill this spring
봄바람처럼

Ooh ooh
Love resembles misty dream
뜬구름처럼
Ooh ooh
Love resembles misty dream
뜬구름처럼"
Butter,방탄소년단,"Smooth like butter
Like a criminal undercover
Gon’ pop like trouble
Breakin’ into your heart like that

Cool shade stunner
Yeah I owe it all to my mother
Hot like summer
Yeah I’m makin’ you sweat like that

Break it down

Oh when I look in the mirror
I’ll melt your heart into 2
I got that superstar glow so
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like butter
Pull you in like no other
Don’t need no Usher
To remind me you got it bad

Ain’t no other
That can sweep you up like a robber
Straight up, I got ya
Makin’ you fall like that

Break it down

Oh when I look in the mirror
I’ll melt your heart into 2
I got that superstar glow so
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Get it, let it roll
Get it, let it roll

No ice on my wrist
I'm that n-ice guy
Got that right body and that right mind
Rollin' up to party got the right vibe
Smooth like butter
Hate us love us

Fresh boy pull up and we lay low
All the playas get movin’ when the bass low
Got ARMY right behind us when we say so
Let's go

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like (butter)
Cool shade (stunner)
And you know we don't stop

Hot like (summer)
Ain’t no (bummer)
You be like oh my god

We gon’ make you rock and you say (yeah)
We gon’ make you bounce and you say (yeah)

Hotter?
Sweeter!
Cooler?
Butter!

Get it, let it roll"
바라만 본다,MSG워너비(M.O.M),"내가 너라면 다 알아볼 텐데
널 위할 사람 찾아낼 텐데
지난 오랜 시간 너의 그 곁을
지켜온 나라는 걸
내가 너였다면 참 행복할 텐데
한 사람을 다 가졌으니까
둔한 바보도 눈치챌 그 사랑을
너만 왜 모르니
너를 바라만 바라만 본다
외쳐 네 이름만 부른다
보고 싶은 맘에 너를 향한 그 발걸음
네 곁을 맴도는데
오늘도 그리고 그리워하다
애써 참았던 눈물이 흘러
그저 멀리서만 바라보다
또 소리쳐 네가 보고 싶다
네가 나라면 더 참 아팠을 텐데
슬픈 역할은 내가 맡을게
웃는 모습만 보이며 살아가 줘
내가 볼 수 있게
너를 바라만 바라만 본다
외쳐 네 이름만 부른다
보고 싶은 맘에 너를 향한 그 발걸음
네 곁을 맴도는데
오늘도 그리고 그리워하다
애써 참았던 눈물이 흘러
그저 멀리서만 바라보다 또 소리쳐
네가 보고 싶다
한 걸음 더 다가갈까
더 가까이 네게 갈까 OH
어제보다 더 내일 더 널 사랑해
I’ll make you love me someday
혼자 바라고 바라만 보다
울컥 그리움이 솟는다
바보 같은 맘에 하지 못한 그 한마디
널 사랑한다는 말
얼마나 그리고 그리워해야
내 맘 너의 곁에 닿게 될까
매일 하루 종일 너의 생각에 사무쳐
너무 보고 싶다"
이제 나만 믿어요,임영웅,"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던
나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요"
OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)","너를 사랑하고 있어
너를 사랑하고 있어
자기야 날 사랑해주면 안 될까
말처럼 쉽지는 않은 걸 알지만
세게 날 안아주면 안 될까
오늘따라 세상이 무섭단 말이야
잠깐 인공호흡을 해주라
왠지 숨이 잘 안 쉬어져서 난
날 놓을 거면 과거에 놔주라
네가 있는 시간에서 죽어갈 거야
우리 그냥 결혼하면 안 될까
돈은 내가 열심히 벌 테니까
이 세상과 내가 눈감는 날
까지만 날 사랑한다 말해주라
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본
내 우주에게 물어본
말은 나를 사랑하면 안 될까
오사카나 오키나와의 바다
내 뮤비들을 찍었던 곳 말이야
같이 가자 약속했었잖아
그 약속이 깨질까 봐 겁이 나
WHUTUF이 결혼한다 하던 날
진짜 처음으로 걔가 부럽더라
하얀 웨딩드레스를 입은 아름다운
너와 영원을 말할 수 있을까
가족이 되어주라
내 집이 되어주라
나도 날 줄 테니 너도 널 주라
평생의 연인이야
네 말대로 말이야
그래 별과 우주잖아
날 사랑하지 않는다면
나의 사랑 반을 받아
남은 사랑의 반도
내가 채워줄 거야 꼭
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본
내 우주에게 물어본
말은 나를 사랑하면 안 될까
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본
내 우주에게 물어본
말은 나를 사랑하면 안 될까"
호랑수월가,탑현,"흐르는 저 하늘을 물어 채는 범처럼
태산에 날아들어 숨어드는 새처럼
동산을 뛰고 뛰어가는 강아지처럼
온 산에 풍물 막을 내리네
바람은 지친 끝에 밤에 몸을 뉘이네
별빛은 아뜩하니 은하수를 내리네
차가운 밤하늘에 세상이 젖어 가네
그리워 홀로 타령을 하자
흘러가라 사랑사랑아
덧없이 피고 떨어지는 꽃송아
애닯구나 가락가락아
눈물에 떨어진 별을 헤네
푸른 달아 오랜 고운 내 달아
비친 내 손에 내려다오
은색 소매 내 곁에 두른 채로
한 번만 타는 입을 축여다오
푸른 달아 다시 없을 내 달아
뻗은 손끝에 닿아다오
달빛만이 흘러 바다가 되고
지쳐 전하지 못하는 수월가
고요한 바다 위로 내 노래가 떠 간다
소리도 부끄러워 숨죽이고 떠 간다
달빛에 젖은 몸을 내놓고서 떠 간다
한낮이 비쳐 오를 때까지
달아 달아 애달픈 달아
피었다 이내 숨어 버릴 허상아
시리구나 세월세월아
나날을 헤면서 현을 뜯네
푸른 달아 오랜 고운 내 달아
비친 내 손에 내려다오
은색 소매 내 곁에 두른 채로
한 번만 타는 입을 축여다오
푸른 달아 다시 없을 내 달아
뻗은 손끝에 닿아다오
달빛만이 흘러 바다가 되고
지쳐 전하지 못하는 수월가
서로 가자 굽이굽이 쳐 가자
하늘에 닿을 너머까지
밤아 가라 훠이훠이 가거라
산 위에 걸린 저 달은 태평가
서로 가자 굽이굽이 쳐 가자
새벽에 닿을 너머까지
달빛만이 흘러 바다가 되고
지쳐 전하지 못하는 수월가
하늘을 보며 그리는 풍류가
손으로 잡을 수 없는 수월가"
