,Unnamed: 0,title,sub_title,intro,link_url,image_url
27,27.0,플라멩코 마리아호세프랑코 내한공연,클래식 ," ""연약하지만 위대한 인간영혼의 찬란한 승리! 인류세계문화유산으로 승화한 집시의 예술혼 플라멩코!  심장을 울리는 발소리, 울부짖는 듯한 집시의 노래, 바로 눈 앞 숨소리조차 들리는 가슴 터질듯한 플라멩코의 전율, 두엔데를 경험하다"" MARIA JOSE FRANCO마리아 호세 프랑코는 인간의 근원적인 희로애락의 감정을 깊은 소리와 격정적인 몸짓으로 전달한다. 세계 최대의 플라멩코 축제인 스페인 JEREZ FESTIVAL(헤레즈 페스티벌)에서 한 해도 거르지 않고 공연을 하고 있는 최고 수준의 무용수로 미국, 캐나다, 프랑스, 독일, 이탈리아, 룩셈부르크 등 세계적으로 초청 러브콜을 받고 있다. 5살때부터 플라멩코를 시작하였으며, 케스터네츠, 지팡이, 긴꼬리 치마 등 도구를 활용한 플라멩코에 강하고, 여성적이면서도 강한 집시의 플라멩코를 동시에 보여준다. 기타리스트 JUAN(후안)과 가수MANUEL(마누엘)은 유명한 플라멩코 집시 집안으로 조상 때부터 대대로 물려받은 모네오 가문의 울부짖는 듯한 깊은 노래를 선사한다. 이번 플라멩코 공연은 사라지는 스트라디움을 위한 진혼의 무대가 될 것입니다. 동시에 관객들은 스트라디움에서 완벽한 고음질과 품위있는 무대와 함께 역사에 남을 생애 최고의 플라멩코를 경험할 것입니다.",,
28,28.0,리지,뮤지컬 ,"리지보든 도끼로 엄마한테 마흔 번 아빠한텐 아니야 마흔 하고 한번 더 1892년, 타는 듯한 8월의 여름 미국 메사추세츠주의 작은 도시 폴리버, 보든가. 부유한 사업가이자 구두쇠로 소문난 앤드류와 그의 부인 에비가 집안에서 잔인하게 도끼로 살해되고, 보든가의 둘째 딸 리지가 친부와 계모를 살해한 유력한 용의자로 체포된다. 전국적인 관심 속에 ‘세기의’ 재판이 열리고, 4명의 여인이 법정에 선다. 리지, 그녀의 언니 엠마, 리지의 친구 앨리스, 보든가의 메이드 브리짓, 보든가에는 과연 무슨 일이 있었는지, 이들 간에는 어떤 비밀들이 있었는지, 서서히 모습을 드러내는 진실들. 재판은 반전의 반전을 거듭해 나간...",,
29,29.0,스메르쟈코프,뮤지컬 ,아버지라 여겨지는 표도르를 살해한 후 며칠간의 긴 발작을 시작한 스메르쟈코프는 현실과 환상의 경계 속에서 긴 여행을 시작한다. 표도르의 제안으로 시작한 모스크바 요리학교부터 학비를 벌기 위해 일하던 공동묘지까지. 산자를 자백하게 만드는 고문기술자부터 죽은 자의 고백을 들어주는 조시마 장로까지.,,
30,30.0,판다스틱,뮤지컬 ,"낮에는 곰, 밤에는 인간의 모습을 한 반인반수 판다는 인간으로 환생하기 위해 저승 통로인 겹세계에서 만물상을 열어 칠성 부적을 모으는 중이다. 인간의 고민을 해결해 주고 일곱 개의 부적을 다 모아 야만 비로소 완전한 인간이 될 수 있는 판다는 마지막 일곱 번째 부적을 들고 찾아온 손님 우비의 고민 해결을 위해 임무에 나선다. ",,
31,31.0,THE 가구,연극 ,"현경과 복희, 소민은 DIY 목공방의 회원이다. 현경은 열 살 아이의 엄마로 공방에서 아이 침대를 만들고 있고, 복희는 자신을 위한 화장대를 만들고 있고, 소민은 이상하게 생긴 의자를 만들고 있다.",,
32,32.0,돌아와요 미자씨 - 대구,연극 ,"황혼의 자유로운 삶을 선언한 미자는 고향으로 내려가 혼자만의 여유를 즐기기로 한다. 그런 미자의 결심에 황급히 고향으로 내려온 사람이 있으니 바로 그녀를 사랑했던 옛 연인 정호와 민수 할아버지다. 두 사람은 옛 기억을 떠올리며 그녀의 마음을 사로잡으려 노력하는데, 미자는 두 사람의 마음을 모른척하며, 외면한다. 그럴수록 더욱 열심히 고백하는 두 사람. 조금씩 미자는 아름다웠던 그 시절을 떠올리기 시작한다. 두 사람은 미자의 마음을 얻기 위해 열정적인 매일을 보내다... 어느 날 갑자기 미자가 사라지고 만다. 두 사람은 미자를 찾기 위해 온 동네를 뒤지다 어렵사리 미자를 발견하는데... 과연 미자의 첫사...",,
33,33.0,프렌쥬 신비의 손전등,가족/아동 ,"바쁜 엄마, 아빠 때문에 하루 종일 혼자 시간을 보내야 하는 우리의 주인공… 어느 날, 갑자기 신비의 손전등이 나타나 자신의 소원인 색깔 그림자를 찾아달라고 한다. 빛의 3가지 색인 빨강, 파랑, 초록색을 찾으면 색 그림자를 만들 수 있다고 하는데…",,
34,34.0,트랙터,연극 ,"<7906 버스> 한현주 작 늦은 밤, 7906번 마지막 버스. 얼마 남지 않은 종착지를 향해 달리고 있는 버스에는 고등학생 세영과 은호, 그리고 운전기사 자영만 남았다. 그런데 갑자기 버스가 고장이 난다. 셋은 곤란해진다. 하필 근린공원 정류장에서 버스가 멈췄기 때문이다. 사흘 전 이 정류장에서 셋은 황당한 사고를 겪었는데… <빵과 텐트> 허선혜 작 ‘기아체험 24시’가 한창 진행 중인 한 캠핑장. 배우는 자신의 텐트에서 몰래 챙겨온 빵을 먹으려한다. 그때 한 아이가 텐트 안으로 침입한다. 배우의 팬이라고 하는 아이. 아이는 배우의 손을 잡고 텐트 밖으로 나선다. 함께 ‘몸’을 찾아달라고. 배우는 엉겁결에 아이의 ‘...",,
35,35.0,오즈의 마법사 - 울산,가족/아동 ,"드넓은 평원 한복판의 외딴 집에 사는 도로시라는 소녀가 있었습니다. 그런데 어느 날 갑자기 회오리바람이 불더니, 도로시의 집을 오즈의 나라로 날려 버리고 말았습니다. 도로시는 고향으로 돌아가기 위해 에메랄드 시에 사는 위대한 마법사 오즈를 찾아가기로 했습니다. 찾으러 가는 도중에 똑똑해지고 싶은 허수아비, 심장이 필요한 양철 나무꾼, 겁쟁이 사자를 만나 함께 오즈를 만나러 가는데.................",,
36,36.0,이 구역의 이기적인X - 대구,연극 ,"영재와 헤어지고 ""이별역""에 도착한 나은은 ""복수역""으로 가기 위해 버스를 기다리다가 그곳에서 ""사랑역""으로 가려고 하는 의문의 한 남자를 만난다. 사랑에 실패만 하던 나은은 그 남자에게 이별 얘기를 털어놓는 과정에서 다시 사랑할 용기를 얻게 되었고 ""이별역""에 온 영재와 마주치게 되는데...",,
